Trials,h1' (cm),h2' (cm),h1 (cm),h2 (cm),h3 (cm),D (cm),L (cm),Predicted (cm),Observation (cm),Delta hp,Delta h,V0,vx,vy,t,x,z,
1,1.205,1.18,1.271,1.123,1.045,0.298,0.294,68.6,,,0.148,1.439884916,1.459475187,0.3820102838,,-0.5,0.1,1
2,120.5,118,,,,,,68.6,,,,,,,,-0.4,0.4,2
3,120.5,118,,,,,,68.6,,,,,,,,-0.6,0.5,3
4,120.5,118,,,,,,68.6,,,,,,,,-0.35,0.5,4
5,120.5,118,,,,,,68.6,,,,,,,,-0.15,0.65,5
6,120.5,118,,,,,,68.6,,,,,,,,-0.45,0.7,6
7,120.5,118,,,,,,68.6,,,,,,,,-0.65,0.7,7
8,120.5,118,,,,,,68.6,,,,,,,,-0.7,0.5,8
9,120.5,118,,,,,,68.6,,,,,,,,-0.6,0.6,9
10,120.5,118,,,,,,68.6,,,,,,,,-1,0.7,10
11,120.5,118,,,,,,68.6,,,,,,,,-0.3,1,11
12,120.5,118,,,,,,68.6,,,,,,,,-0.5,1,12
13,120.5,118,,,,,,68.6,,,,,,,,-0.7,0.9,13
14,120.5,118,,,,,,68.6,,,,,,,,-0.9,1,14
15,120.5,118,,,,,,68.6,,,,,,,,-0.7,1.1,15
16,120.5,118,,,,,,68.6,,,,,,,,-0.5,1.1,16
17,120.5,118,,,,,,68.6,,,x_bar ->,-0.53,0.817,<--z_bar,,-0.35,1.1,17
18,120.5,118,,,,,,68.6,,,x_bar sem->,0.0507,0.0737,<--z_bar stdv,,-0.1,1.2,18
19,120.5,118,,,,,,68.6,,,,,,,,-0.7,1.3,19
20,120.5,118,,,,,,68.6,,"xBarMetal2 = mb2[""x""]",,,,,,-0.45,1.3,20
,,,,,,,,,,"zBarMetal2 = mb2[""z""]",,,,,,,,
,,,,,,,,,,"print("" "")",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1.205,1.18,1.271,1.123,1.045,0.298,0.294,,,,,,,,,,,
