Trials,h1' (cm),h2' (cm),h1 (cm),h2 (cm),h3 (cm),D (cm),L (cm),Predicted (cm),Observation (cm),Delta hp,Delta h,V0,vx,vy,t,x,z,
1,1.216,1.167,1.32,1.074,1.017,0.276,0.294,78.3,,0.049,0.246,1.661231041,1.559523018,0.3220754059,,-0.9,0.7,1
2,0.049,0.098,,,,,,78.3,,0.049,,,,,,-0.65,0.4,2
3,,,,,,,,78.3,,0,,,,,,-1.15,0.2,3
4,,,,,,,,78.3,,0,,,,,,-0.35,0.2,4
5,,,,,,,,78.3,,0,,,,,,-0.1,0.15,5
6,,,,,,,,78.3,,0,,,,,,-0.15,-0.1,6
7,,,,,,,,78.3,,0,,,,,,0.1,-0.1,7
8,,,,,,,,78.3,,0,,,,,,-0.1,-0.25,8
9,,,,,,,,78.3,,0,,,,,,0.1,-0.4,9
10,,,,,,,,78.3,,0,,,,,,-0.1,-0.45,10
11,,,,,,,,78.3,,0,,,,,,-0.3,-0.45,11
12,,,,,,,,78.3,,0,,,,,,-0.55,-0.4,12
13,,,,,,,,78.3,,0,,,,,,-0.3,-0.5,13
14,,,,,,,,78.3,,0,,,,,,-1,-0.4,14
15,,,,,,,,78.3,,0,,,,,,-0.4,-0.7,15
16,,,,,,,,78.3,,0,,,,,,-0.1,-0.75,16
17,,,,,,,,78.3,,0,,,,,,-0.35,-0.8,17
18,,,,,,,,78.3,,0,,x_bar ->,-0.4,-0.308,<--z_bar,0,-0.8,18
19,,,,,,,,78.3,,0,,x_bar sem ->,0.0942,0.101,<--z_bar stdv,-0.3,-1,19
20,,,,,,,,78.3,,#REF!,,,,,,-1.4,-0.7,20
