Trials,h1' (cm),h2' (cm),h1 (cm),h2 (cm),h3 (cm),D (cm),L (cm),Predicted (cm),Observation (cm),,,,,,t,x,z,
1,121.6,116.7,135,104.6,99.6,29.2,29.4,,,4.9,30.4,18.90022676,18.77165378,3.214324278,,-4.9,0,1
2,4.9,9.8,,,,,,,,,,,,,,-5.5,0,2
3,,,,,,,,,,,,,,,,-6.15,0,3
4,,,,,,,,,,,,,,,,-5.7,-0.1,4
5,,,,,,,,,,,,,,,,-5.35,-0.1,5
6,,,,,,,,,,,,,,,,-5.7,-0.2,6
7,,,,,,,,,,,,,,,,-5.4,-0.5,7
8,,,,,,,,,,,,,,,,-6.45,-0.25,8
9,,,,,,,,,,,,,,,,-5.85,0.25,9
10,,,,,,,,,,,,,,,,-5.65,0.3,10
11,,,,,,,,,,,,,,,,-5.25,0.15,11
12,,,,,,,,,,,,,,,,-5,0.1,12
13,,,,,,,,,,,,,,,,-4.8,0.1,13
14,,,,,,,,,,,,,,,,-4.85,0.3,14
15,,,,,,,,,,,,,,,,-5.2,0.4,15
16,,,,,,,,,,,,,,,,-5,0.5,16
17,,,,,,,,,,,,x_bar ->,,,<--z_bar,-4.7,0.5,17
18,,,,,,,,,,,,x_bar sem->,,,<--z_bar stdv,-5.45,0.7,18
19,,,,,,,,,,,,,,,,-5.1,0.85,19
20,(We record these values only one for each ball,,We are reading from the line,,(122.1) Maybe,,,,,,,,,,,-5.9,0.7,20
